Word	Prefix	Stem	Tone	POS	Class	Gloss	No	Note	Dialect
kuteeraho	ku	teeraho	LHHLL	v.		try	6555		(A)
kuteerama	ku	teerama	LHHLL	v.		become puddles	6556		
kuteeramya	ku	teeramya	LHHLL	v.		make holes for the rain	6557		
kuteerana	ku	teerana	LHHLL	v.		assemble; meet; agree; fight with; join battle; add (arith	6558		
kuteerera	ku	teerera	LHHLL	v.		fill with hop; limp;	6559		
kuteera amdisho	ku	teera amdisho	LHLLLLL	:		look at;	6560		
kuteera enkome	ku	teera enkome	LHLLLHL	:		","	6561		(A)
kuteera enkomyo	ku	teera enkomyo	LHLLLHL	:		snap the fingers;	6562		(K)
kuteera omu ngaro	ku	teera omu ngaro	LHLLHLLL	:		clap (someone)	6563		
kuteeterera	ku	teeterera	LHHLLL	v.		beat	6564		
kuteerwa	ku	teerwa	LHLL	v.		be caught in the rain	6565		
kuteesa	ku	teesa	LHLL	v.		confer	6566		(G)
kuteeza	ku	teeza	LHLL	v.		respond; cause to strike ; multiply (arithmetic)	6567		
kutega	ku	tega	LHL	v.		trap; fish for; get better; (A) shave;	6568		
kutega amaisho	ku	tega	LHLLLLL	:		tum the eyes to; look forward to ;	6569		
kutega engaro	ku	tega engaro	LHLLLL	:		hold out a hand to;	6570		
kutega okutu/amdtu	ku	tega okutu/amdtu	LHLLHLLL	:		listen	6571		
kutegama	ku	tegama	LHLL	v.		grow crooked (used of plants)	6572		
kutegana	ku	tegana	LHLL	v.		be very tired; be bothered	6573		
kuteganisa	ku	teganisa	LHLLL	v..t.		bother	6574		
kuteganya	ku	teganya	LHLL	v..t.		worry	6575		
kutegurura	ku	tegurura	LHLLL	v.		unset a trap	6576		
kuteguuta	ku	teguuta	LHLLL	v.		take from a trap; save from temptation; put away; sprout; (A	6577		
kuteguura eiriiro	ku	teguura a'rflro	LHLLLLLHLL	:		clear away the food	6578		
kutegyeka	ku	tegyeka	LHLL	v.		rule ; manage	6579		
kutegyekwa	ku	tegyekwa	LHLL	v.		be accustomed	6580		(A)
kutegyereza	ku	tegyereza	LHLLL	v.		wait for	6581		
kuteisa	ku	teisa	LHLL	v.		rebuke	6582		
kuteishuka	ku	teishuka	LHHLL	v.		miss the way; impede	6583		
kutema	ku	tema	LHL	v.		fell; slash	6584		
kutemaho	ku	temaho	LHLL	v.		cut (esp. wages)	6585		
kutemba	ku	temba	LLL	v.		climb; (A) go to bed (used of a king); kutanba omu baˆsi: ge	6586		
kutemba	ku	temba	LFL	v.		flow (used of water)	6587		(K)
kutembamu	ku	tembamu	LLLL	v.		get on (a bus)	6588		
kutembeitura	ku	tembeitura	LHLLLL	v.		lift and carry with an effort	6589		
kutembera	ku	tembera	LLLL	v.		fall back (on an argument)	6590		
kutembeya	ku	tembeya	LLLL	v.		trade; settle in a new place	6591		
kutemburuka	ku	temburuka	LLLLL	v.		go down	6592		
kutembuuta	ku	tembuuta	LLLLL	v.		begin something new	6593		
kutembya	ku	tembya	LLL	v.		hoist	6594		
kutemesa	ku	temesa	LHLL	v.		fell with; accuse falsely	6595		
kutemuka	ku	temuka	LLLL	v.		be burst	6596		
kutemurura	ku	temurura	LHLLL	v.		weed bananas	6597		
kutenda	ku	tenda	LLL	v.		become slack (used of a rope)	6598		
kutendeka	ku	tendeka	LHLL	v.		initiate; (A) train	6599		
kutendera	ku	tendera	LHLL	v.		procure	6600		
kutenenkyerera	ku	tenenkyerera	LHLLLL	v.		settle (used of muddy liquid)	6601		
kutenga	ku	tenga	LLL	v.		covet; be willing	6602		
kutengatenga	ku	tengatenga	LLLLL	v.		wobble	6603		
kutenguka	ku	tenguka	LLLL	v.		slip (used of earth)	6604		
kutengwa	ku	tengwa	LLL	v.		excavate	6605		
kutengyeeta	ku	tengyeeta	LLLLL	v..i.		twitch	6606		
kutengyeetsa	ku	tengyeetsa	LLLLL	v.		pull tug	6607		
kutengyera	ku	tengyera	LLLL	v..t.		wish	6608		
kutengyerera	ku	tengyerera	LLLLL	v.		be shaky	6609		
kutensa	ku	tensa	LFL	v.		confer	6610		(A)
kutenteberera	ku	tenteberera	LLLLLL	v.		run off into the bush; ricochet	6611		
kutentebuka	ku	tentebuka	LLLLL	v.		subside	6612		(A)
kutera	ku	tera	LLL	v.		go bad; get worse (used of a wound)	6613		
kuterama	ku	terama	LHLL	v.		settle down; call in on; be shallow; be wide; sit up late	6614		(K)
kuterebuka	ku	terebuka	LLLLL	v.		slip from the hands	6615		
kuterebura	ku	terebura	LLLLL	v.		go bad	6616		
kutereera	ku	tereera	LLLLL	v.		be straight	6617		(G)
kutereeza	ku	tereeza	LLLLL	v.		straighten	6618		
kutereka	ku	tereka	LHLL	v.		hand round	6619		
kuterekyerera	ku	terekyerera	LLLLLL	v.		"be in rows, be lined up"	6620		
kuterekyerera	ku	terekyerera	LHLLLL	v.		offer to (the spirits)	6621		
kuterera	ku	terera	LLLL	v.		be slippery; limp	6622		
kutereza	ku	tereza	LLLL	v.		make smooth and slippery	6623		
kuterura	ku	terura	LHLL	v.		"lift out, lift off"	6624		
kutesa	ku	tesa	LHL	v.		"spoil (a child), make spoilt"	6625		(K)
kuteta.	ku	teta.	LHL	v.		be spoilt (used of a child)	6626		
kuteteerwa	ku	teteerwa	LLLLL	v.		"lie low, play possum"	6627		
kutetema	ku	tetema	LLLL	v.		shiver; tremble; be rancid (used of butter)	6628		
kutetera	ku	tetera	LHLL	v.		cackle	6629		
kutetsa	ku	tetsa	LHL	v.		"spoil (a child), make spoilt"	6630		(A)
kuteza	ku	teza	LLL	v.		make worse	6631		
kutezya	ku	tezya	LLL	v.		be symmetrical (used of horns)	6632		
kuti	ku	ti	LL	a.		like this	6633		
kutibirana	ku	tibirana	LLLLL	v.		mix up	6634		(K)
kutiga	ku	tiga	LLL	v.		be stubborn	6635		
kutiganda	ku	tiganda	LLLL	v.		cut wood for building	6636		
kutigita	ku	tigita	LLLL	v.		shake up	6637		
kutiiha	ku	tiiha	LLLL	v.		shovel	6638		
okutiina	oku	tiina	LLLLL	n.	15	fear	6639		
kutiina	ku	tiina	LLLL	v.		be afraid	6640		
kutiinisa	ku	tiinisa	LLLLL	v.		frighten	6641		
kutiinuuka	ku	tiinuuka	LLLLLL	v.		lose one's fear	6642		
kutiiza	ku	tiiza	LLLL	v.		lend; borrow (things other than money)	6643		
okutimba	oku	timba	LLLL	n.	15	"geology, archaeology"	6644		
kutimba	ku	timba	LLL	v.		dig holes; cut holes (in teeth); pester	6645		
kutimbira	ku	timbira	LLLL	v.		deny knowledge; grudge; start from; fall from; bury in; com	6646		
kutimbura	ku	timbura	LLLL	v.		stab; beat; mix with beer	6647		
kutimbyamu	ku	timbyamu	LLLL	v.		dig out; bring from hiding	6648		
kutinda	ku	tinda	LLL	v.		bridge	6649		
kutinduura	ku	tinduura	LLLLL	v.		take down (a bed)	6650		
kutinga	ku	tinga	LLL	v.		commit sodomy	6651		
kutiriga	ku	tiriga	LLLL	v.		curl the hair by rubbing clay on it	6652		
kutirima	ku	tirima	LLLL	v.		frisk about	6653		
kutirimbatirimbuka	ku	tirimbatirimbuka	LLLLLLLL	v.		stampede	6654		
kutitira	ku	titira	LLLL	v.		shiver	6655		
kutitiza	ku	titiza	LLLL	v.		chill	6656		
kutoba	ku	toba	LLL	v..t.		mix; v.i be drenched	6657		
kutoba	ku	toba	LLL	v..i.		be drenched	6658		
kutobera	ku	tobera	LLLL	v.		sink	6659		
kutobora	ku	tobora	LLLL	v.		have sexual intercourse	6660		(A)
kutoborora	ku	toborora	LLLLL	v.		stir (beer)	6661		
kutobya	ku	tobya	LLL	v.		mix into	6662		
kutoga	ku	toga	LLL	v.		sample (millet)	6663		
kutogyera	ku	togyera	LLLL	v.		reap; begin a season; change (used of the weather)	6664		
kutoija	ku	toija	LLLL	v.		"present (a superior) with, pay tribute"	6665		
kutokoora	ku	tokoora	LFLLL	v.		fish out	6666		
kutokoorekana	ku	tokoorekana	LLLLLLL	v.		make a din	6667		
kutokooza	ku	tokooza	LFLLL	v.		flick into	6668		
kutomera	ku	tomera	LLLL	v.		knock into	6669		
kutomora	ku	tomora	LLLL	v.		pay a deposit	6670		
kutona	ku	tona	LLL	v.		stipple; announce an unexpected event	6671		
kutonda	ku	tonda	LLL	v.		begin to grow (used of hair or feathers)	6672		
kutondagira	ku	tondagira	LLLLL	v.		pick one's steps; (A) give details	6673		
kutondoka	ku	tondoka	LLLL	v..i.		split open	6674		
kutondoka	ku	tondoka	LLLL	v..t.		dehusk	6675		
kutondoora	ku	tondoora	LLLLL	v.		investigate; kutondoora obukomooko:  trace one's descent	6676		
kutondora	ku	tondora	LLLL	v..t.		split; clean (the nails)	6677		
kutondoramu	ku	tondoramu	LLLLL	v.		pluck out	6678		
kutoneka	ku	toneka	LLLL	v.		chafe	6679		
kutonekara	ku	tonekara	LLLLL	v.		be chafed	6680		
kutonera	ku	tonera	LLLL	v.		sting	6681		
kutongana	ku	tongana	LLLL	v.		"bring up (a prisoner); bring to law; quarrel, dispute"	6682		
kutonganira	ku	tonganira	LLLLL	v.		plead for	6683		
kutonganisa	ku	tonganisa	LLLLL	v.		kutonganisa orubanga: try a case	6684		
kutongora	ku	tongora	LLLL	v.		popularise; grow fond of	6685		
kutontoma	ku	tontoma	LLLL	v.		grumble	6686		
kutonzya	ku	tonzya	LLL	v.		be sad	6687		
kutooka	ku	tooka	LLLL	v.		sprout	6688		
kutoonya	ku	toonya	LLLL	v.		drip	6689		
kutoonyerera	ku	toonyerera	LLLLLL	v.		drizzle	6690		
kutoonyeza	ku	toonyeza	LFLLL	v.		"dot; mark, tick"	6691		
kutoonyoroka	ku	toonyoroka	LLLLLL	v.		stop drizzling	6692		
kutoora	ku	toora	LLLL	v.		"take (a path); go (that way); dress finely, do properly; tak"	6693		
kutooramu	ku	tooramu	LLLLL	v.		choose from	6694		
kutoorana	ku	toorana	LLLLL	v.		choose	6695		
kutooranamu	ku	tooranamu	LLLLLL	v.		choose from	6696		
kutooratoora	ku	tooratoora	LLLLLLL	v.		pick up	6697		
kutooreka	ku	tooreka	LLLLL	v.		become common	6698		
kutooreza	ku	tooreza	LLLLL	v.		copy	6699		
kutooza	ku	tooza	LLLL	v.		follow a trail; be weak in health	6700		
kutoroboza	ku	toroboza	LLLLL	v.		"pick up, glean"	6701		
kutoroka	ku	toroka	LLLL	v.		run away; emigrate	6702		
kutorongyeza	ku	torongyeza	LLLLL	v.		water (used of the eyes)	6703		
kutorora	ku	torora	LLLL	v.		free	6704		
kutorotoora	ku	torotoora	LLLLLL	v.		pick up	6705		
kutota	ku	tota	LLL	v.		grow soft	6706		
kutotsa	ku	totsa	LLL	v..t.		soften	6707		
kutoya	ku	toya	LLL	v.		imitate	6708		
kutsiba	ku	tsiba	LLL	v.		fasten; imprison; lock	6709		(A)
kutsiba	ku	tsiba	LLL	v.		die down	6710		(A)
kutsibaaza	ku	tsibaaza	LLLLL	v.		stagger	6711		(A)
kutsibama	ku	tsibama	LLLL	v.		linger	6712		(A)
kutsibasibya	ku	tsibasibya	LLLLL	v.		cover the traces of a crime	6713		(A)
kutsibika	ku	tsibika	LLLL	v.		tether; trip up	6714		(A)
kutsibukana	ku	tsibukana	LLLLL	v.		sway	6715		(A)
kutsibura	ku	tsibura	LLLL	v.		untether	6716		(A)
kutsibura	ku	tsibura	LLLL	v.		strike	6717		(A)
kutsibwa	ku	tsibwa	LLL	v.		be put in prison	6718		(A)
kutsiga	ku	tsiga	LLL	v.		leave behind; arrive before	6719		(A)
kutsigaho	ku	tsigaho	LLLL	v.		leave there	6720		(A)
kutsigara	ku	tsigara	LLLL	v.		"be left, stay"	6721		(A)
kutsigaraho	ku	tsigaraho	LLLLL	v.		be left over	6722		(A)
kutsigazabo	ku	tsigazabo	LLLLL	v.		have left	6723		(A)
kutsigira	ku	tsigira	LLLL	v.		entrust to	6724		(A)
kutsigirira	ku	tsigirira	LLLLL	v.		leave a space	6725		(A)
kutsiira	ku	tsiira	LLLL	v.		give meat	6726		(A)
kutsiisa	ku	tsiisa	LLLL	v.		ask for meat	6727		(A)
kutsikamba	ku	tsikamba	LLLL	v.		be unwilling	6728		(A)
kutsikambwa	ku	tsikambwa	LLLL	v.		be undecided	6729		(A)
kutsikana	ku	tsikana	LLLL	v.		be squashed together	6730		
kutsikanisa	ku	tsikanisa	LLLLL	v.		force in	6731		(A)
kutsikimba	ku	tsikimba	LLLL	v.		sob; thunder (used of drums)	6732		(A)
kutsimba	ku	tsimba	LLL	v.		"erect, place upright; kutsimba amaju:  kneel; kutsimba omush"	6733		(A)
kutsimbira	ku	tsimbira	LLLL	v.		follow	6734		(A)
kutsimbuka	ku	tsimbuka	LLLL	v..i.		move (used of things)	6735		(A)
kutsimbura	ku	tsimbura	LLLL	v..t.		remove	6736		(A)
kutsimbuza	ku	tsimbuza	LLLL	v.		prepare or adjust a load for the head	6737		(A)
kutsina	ku	tsina	LLL	v.		scold	6738		(A)
kutsinda	ku	tsinda	LLL	v.		groan; roar (used of a lion)	6739		(A)
kutsindama	ku	tsindama	LLLL	v.		be uprooted; die out	6740		(A)
kutsindamya	ku	tsindamya	LLLL	v.		uproot; overturn	6741		(A)
kutsindiira	ku	tsindiira	LLLLL	v.		load (a gun)	6742		(A)
kutsindika	ku	tsindika	LLLL	v.		push; strive	6743		(A)
kutsindikira	ku	tsindikira	LLLLL	v.		bear down	6744		(A)
kutsindikirira	ku	tsindikirira	LLLLLL	v.		push along	6745		(A)
kutsindirira	ku	tsindirira	LLLLL	v.		bring ill luck	6746		(A)
kutsinduka	ku	tsinduka	LLLL	v.		be uprooted	6747		(A)
kubindura	ku	bindura	LLLL	v.		uproot	6748		(A)
kutsinga	ku	tsinga	LLL	v.		rub sticks together	6749		(A)
kutsintsimuka	ku	tsintsimuka	LLLLL	v.		go down	6750		(A)
kutsintsina	ku	tsintsina	LLLL	v.		stop oneself from saying	6751		(A)
kutsira	ku	tsira	LLL	v.		go out (used of a fire)	6752		(A)
kutsiratsiza	ku	tsiratsiza	LLLLL	v.		soothe	6753		(A)
kutsiriitana	ku	tsiriitana	LLLLLL	v.		wrestle	6754		(A)
kutsirika	ku	tsirika	LLLL	v.		quench one's thirst	6755		(A)
kutsiza	ku	tsiza	LLL	v.		cool with water; damp down (afire)	6756		(A)
kutsizika	ku	tsizika	LLLL	v.		bend one's trunk	6757		(A)
kutsya	ku	tsya	HL	v.		"clear up, become fine"	6758		(A)
kutsyagiira	ku	tsyagiira	LHLLL	v.		labour uphill	6759		(A)
kutsyaha	ku	tsyaha	LLL	v.		charge (used of bulls) ; (G) hate	6760		(A)
kutsyahukira	ku	tsyahukira	LHLLL	v.		scold	6761		(A)
kutsyama	ku	tsyama	LFL	v.		go astray	6762		(A)
kutsyamuka	ku	tsyamuka	LHLL	v.		come back	6763		(A)
kubyamura	ku	byamura	LHLL	v..t.		turn back	6764		(A)
kutsyora	ku	tsyora	LFL	v.		come to drink (used of cattle)	6765		(A)
kutsyorera	ku	tsyorera	LLLL	v.		be insolent; answer spitefully	6766		(A)
okutu	oku	tu	LHL	n.		ear	6767		
kutuga	ku	tuga	LLL	v.		strangle	6768		
kutukura	ku	tukura	LLLL	v.		be red	6769		
kutukuriza	ku	tukuriza	LLLLL	v.		overcook	6770		
kutuma	ku	tuma	LHL	v.		send (a person)	6771		
kutumaguza	ku	tumaguza	LLLLL	v.		send often	6772		
kutumba	ku	tumba	LLL	v.		swell	6773		
kutumbika	ku	tumbika	LLLL	v.		be high ; moisten	6774		
kutumbira	ku	tumbira	LLLL	v.		send up	6775		
kutunama	ku	tunama	LLLL	v..i.		show (used of bones)	6776		
kutunda	ku	tunda	LLL	v.		sell	6777		
kutundama	ku	tundama	LLLL	v.		"keep quiet, play possum"	6778		
kutunenga	ku	tunenga	LHLL	v.		tie tightly	6779		
kutunga	ku	tunga	LFL	v.		have; get;keep for oneself; thread; kutunga orukœmu: point a	6780		
kutungama	ku	tungama	LHLL	v.		be steep	6781		
kutungamira	ku	tungamira	LHLLL	v.		get on top of	6782		
kutungarara	ku	tungarara	LHLLL	v.		be uneven	6783		
kutungika	ku	tungika	LLLL	v.		take (a cow) uphill; go up (a river); lift; come out (used o	6784		
kutungisa	ku	tungisa	LLLL	v.		enrich	6785		
kutungura	ku	tungura	LHLL	v.		be feverish	6786		
kutunguruka	ku	tunguruka	LHLLL	v.		come unthreaded	6787		
kutungurura	ku	tungurura	LHLLL	v.		unthread	6788		
kutunguuka	ku	tunguuka	LHLLL	v..i.		develop	6789		
kutunguura	ku	tunguura	LLLLL	v..t.		develop; enrich; promise; encourage	6790		
kutunguuta	ku	tunguuta	LHLLL	v.		be soft (used of reeds)	6791		
kutungwa	ku	tungwa	LFL	v.		be kept alive	6792		
kutunta	ku	tunta	LFL	v.		"escape, come out"	6793		
kutuntumuka	ku	tuntumuka	LLLLL	v.		disappear; flee; rise (used ofdust)	6794		
kutuntumura	ku	tuntumura	LLLLL	v.		frighten off	6795		
okutuntura	oku	tuntura	LLHLL	n.	15	trouble	6796		(N)
kutuntura	ku	tuntura	LLLL	v..i.		be worried	6797		(N)
kutuntuza	ku	tuntuza	LLLL	v..t.		worry	6798		(N)
kutunuka	ku	tunuka	LLLL	v.		protrude	6799		
kutura	ku	tura	LLL	v.		"dislike, object to; come one by one"	6800		
ebiro bikatura bikye	ku	tura	LLLLLHLLL			a few days passed	6801		
nk'oku bitura	ku	tura	LLLHL	:		as they are	6802		
kutura amaisho	ku	tura amaisho	LHLLLLL	:		put out the eyes;	6803		
kutura amara	ku	tura amara	LHLLLL	:		"tear out the intestines,"	6804		
kutura omubi	ku	tura omubi	LHLLLL	:		belch	6805		
kuturanira	ku	turanira	LLLLL	v.		be mixed	6806		
kuturaniza	ku	turaniza	LHLLL	v.		mix	6807		
kuturikirira	ku	turikirira	LHLLLL	v.		reach first	6808		
kuturira	ku	turira	LLLL	v.		"be caught (used of an illness), infect"	6809		
kuturiza	ku	turiza	LLLL	v.		cause infection	6810		
kuturuka	ku	turuka	LLLL	v.		emerge; rise (of the sun)	6811		
kuturura	ku	turura	LLLL	v.		sweeten	6812		
kutururwa	ku	tururwa	LHLL	v.		be lumpy (used of porridge)	6813		
kutuuba	ku	tuuba	LLLL	v..i.		decrease	6814		
kutuubuuka	ku	tuubuuka	LLLLLL	v..i.		increase	6815		
kutuubuura	ku	tuubuura	LLLLLL	v..t.		increase	6816		
kutuubya	ku	tuubya	LLLL	v..t.		decrease	6817		
kutuuhuuka	ku	tuuhuuka	LLLLLL	v.		come to the surface	6818		
kutuuhuura	ku	tuuhuura	LLLLLL	v.		help out of the water	6819		
kutuuka	ku	tuuka	LLLL	v.		"make a fibre ball; tie, weave"	6820		
kutuukura	ku	tuukura	LLLLL	v.		slaughter	6821		
kutuukurura	ku	tuukurura	LLLLLL	v.		untie	6822		
kutuuma	ku	tuuma	LLLL	v.		heap up; be very hot	6823		
kutuumeera	ku	tuumeera	LLLLLL	v.		jump high; (A) be in a temper	6824		
kutuumuuka	ku	tuumuuka	LLLLLL	v.		go up (used of smoke)	6825		
kutuumuura	ku	tuumuura	LLLLLL	v..t.		exhale	6826		
kutuura	ku	tuura	LLLL	v.		"live, do continually; remain; put down; throw (in wrestling"	6827		
kutuuraho	ku	tuuraho	LLLLL	v.		take a long time; linger; continue; be stopped; kill outrigh	6828		
kutuurayo	ku	tuurayo	LHLLL	v.		stay away	6829		
kutuurira	ku	tuurira	LHLLL	v.		live in; set before	6830		
kutuuruura	ku	tuuruura	LHHLLL	v.		"leave; make a swarming noise, fly away"	6831		
kutuutuka	ku	tuutuka	LLLLL	v.		perspire; blush; work hard	6832		
kutuuza	ku	tuuza	LHLL	v..i.		calm down	6833		
kutuya	ku	tuya	LLL	v.		go bad	6834		
kutwa	ku	twa	LL	v.		give wedding presents	6835		(A)
kutwara	ku	twara	LFL	v.		take; carry; rule; conceive; drive (a car);	6836		
kutwara omugyera	ku	twara	LFLLLLL	:		be drowned in a river	6837		
kutwaraho	ku	twaraho	LHLL	v..t.		cost	6838		
kutwarara na	ku	twarara na	LHLLL	v.		combat	6839		
kutwaza	ku	twaza	LFL	v.		carry on; behave; carry out; cause conception	6840		
kutwebwa	ku	twebwa	LLL	v.		be given wedding presents	6841		(A)
kutweisa	ku	tweisa	LLLL	v.		arrange for wedding presents	6842		(A)
kutweka	ku	tweka	LLL	v.		send; light; give conception to	6843		
kutwekyera	ku	twekyera	LLLL	v.		send to; set fire to; insert	6844		
kutwera	ku	twera	LLL	v.		give wedding presents to	6845		(A)
kutwereera	ku	twereera	LLLLL	v.		give wedding gifts	6846		(K)
kutwereeza	ku	twereeza	LLLLL	v.		arrange for wedding gifts	6847		(K)
kutwerera	ku	twerera	LHLL	v.		make a hole for the insertion of a handle	6848		
kutyabura	ku	tyabura	LHLL	v.		snap (used of a stick)	6849		(A)
kutyankana	ku	tyankana	LHLL	v.		flash	6850		(A)
kutyaza	ku	tyaza	LFL	v.		sharpen	6851		(A)
kutyo	ku	tyo	LL	a.		like that	6852		
kutyongooza	ku	tyongooza	LLLLL	v.		laugh stupidly	6853		(A)
kutyotyoza	ku	tyotyoza	LHLL	v.		twitter	6854		(A)
kuuha?	kuu	ha	LLL	a.	15	which one?	6855		
kuviigiira	ku	viigiira	LHLLLL	v.		"creak, squeak"	6856		
kuviika	ku	viika	LLLL	v.		plug; cork; bung up	6857		
kuvuga	ku	vuga	LHL	v.		"drive, steer"	6858		(G)
kuvumba	ku	vumba	LLL	v.		drink beer	6859		
kuvunura	ku	vunura	LLLL	v.		treat a possessed person	6860		
kuvuruga	ku	vuruga	LLLL	v..t.		stir	6861		
kuvuyanga	ku	vuyanga	LHLL	v.		"stir up, muddle"	6862		
kuyaabuuka	ku	yaabuuka	LLLLLL	v..i.		finish	6863		
kuyaabuura	ku	yaabuura	LLLLLL	v..t.		gather together	6864		
kuyaaga	ku	yaaga	LLLL	v.		backbite; console	6865		
kuyaga	ku	yaga	LLL	v..i.		melt	6866		
kuyamba	ku	yamba	LLL	v.		elope (used of a woman); (G) help	6867		
kuyangayanga	ku	yangayanga	LLLLL	v.		dawn	6868		
kuyazya	ku	yazya	LLL	v..t.		melt	6869		
kuyeiba	ku	yeiba	LHLL	v.		go stealthily ; slink off	6870		(A)
kuyeiha	ku	yeiha	LHLL	v.		"take oneself away from; take out (e. g., a jigger) from ones"	6871		(A)
kuyeihaho	ku	yeihaho	LHLLL	v.		kuyŽihaho orubanja:  escape judgment	6872		(A)
kuyeijutsya	ku	yeijutsya	LHLLL	v.		remind oneself	6873		(A)
kuyeimukira	ku	yeimukira	LHHLLL	v.		go by oneself	6874		(A)
kuyeimutsya	ku	yeimutsya	LHHLL	v.		raise oneself; get up	6875		(A)
kuyeinika	ku	yeinika	LHLLL	v.		be round-shouldered; be a self-mademan	6876		(A)
kuyeinura	ku	yeinura	LHLLL	v.		leave work	6877		(A)
kuyeita	ku	yeita	LHLL	v.		commit suicide	6878		(A)
kuyomba	ku	yomba	LLL	v.		talk angrily; rustle (used of leaves)	6879		
okuyonja	oku	yonja	LLLL	a.	15	clean	6880		(G)
kuyooka	ku	yooka	LLLL	v.		go together	6881		
kuyoora	ku	yoora	LLLL	v.		scoop up	6882		
kuyuga	ku	yuga	LLL	v.		come loose	6883		
kuyunga	ku	yunga	LLL	v.		"join, splice"	6884		
kuyunguura	ku	yunguura	LLLLL	v.		rethatch	6885		
kuyuzya	ku	yuzya	LLL	v..t.		loosen	6886		
kuza	ku	za	LL	v.		go to; kaza omu ku-: begin to; ei burikuza: in the future;	6887		
ei barikuza	ei	barikuza	LLLLLL	:	5	their destination	6888		
kuzaagira	ku	zaagira	LHHLL	v..i.		"stand still (used of cattle); get through, reach the top; s"	6889		
kuzaagiza	ku	zaagiza	LHHLL	v..t.		collect (cattle)	6890		
kuzaagurika	ku	zaagurika	LHHLLL	v.		go from a kraal (used of cattle)	6891		
kuzaagurura	ku	zaagurura	LHHLLL	v.		take (cattle) from a kraal	6892		
kuzaaha	ku	zaaha	LLLL	v.		be exhausted; be nearly dead; go abroad	6893		
kuzaahaara	ku	zaahaara	LLLLLL	v.		be lazy	6894		(A)
kuzaabuuka	ku	zaabuuka	LLLLLL	v.		return from far	6895		
kuzaahuura	ku	zaahuura	LLLLLL	v.		bring from far	6896		
kuzaana	ku	zaana	LLLL	v.		play	6897		
kuzaanira aha	ku	zaanira aha	LLLLLLL	v.		play w’th	6898		
kuzaanisa	ku	zaanisa	LLLLL	v.		play with	6899		
kuzaara	ku	zaara	LHLL	v.		have (a child); produce (a thing);  kaz‡ara akantu: be dange	6900		
kuzaaranwa	ku	zaaranwa	LHHLL	v.		"be high-born, have blue blood, have common parents; be nativ"	6901		
kuzaariranwa	ku	zaariranwa	LHHLLL	v.		be born with	6902		
kuzaaririza	ku	zaaririza	LHHLLL	v.		make a profit	6903		
kuzaarukamu	ku	zaarukamu	LHHLLL	v.		"result, be produced"	6904		
kuzaarwa	ku	zaarwa	LHLL	v.		be born	6905		
okuzaasya	oku	zaasya	LLLLL	n.	15	deportation	6906		
kuzaasya	ku	zaasya	LLLL	v.		deport	6907		
kuzaaza	ku	zaaza	LHLL	v.		cause birth; give rise to	6908		
kuzaho	ku	zaho	LLL	v.		settle on	6909		
kuzambaara	ku	zambaara	LHLLL	v.		be in disorder	6910		
kuzambaitura	ku	zambaitura	LHLLLL	v.		snatch	6911		
kuzeereera	ku	zeereera	LLHLLL	v.		float; hover	6912		
kuzenga	ku	zenga	LFL	v.		wander; be dying	6913		
kuzengazenga	ku	zengazenga	LHLLL	v.		stagger	6914		
kuzengurukana	ku	zengurukana	LHLLLL	v.		go to and fro; ply between	6915		
kuzengyerera	ku	zengyerera	LHLLL	v.		be homeless; be dizzy; hover	6916		
kuzibira	ku	zibira	LLLL	v.		prevent	6917		
kuziga	ku	ziga	LLL	v.		blacken	6918		
kuziguka	ku	ziguka	LLLL	v.		become black	6919		
kuzigura	ku	zigura	LLLL	v.		blacken	6920		
kuziguruka	ku	ziguruka	LLLLL	v.		encircle	6921		
kuziguza	ku	ziguza	LLLL	v.		polish with; put round	6922		
kuziha	ku	ziha	LLL	v.		swim	6923		
kuzihaaziha	ku	zihaaziha	LLLLLL	v.		dawdle	6924		
kuzihambuka	ku	zihambuka	LLLLL	v.		be in a temper	6925		
kuziika	ku	ziika	LLLL	v.		bury	6926		
kuziikuura	ku	ziikuura	LLLLLL	v.		exhume	6927		
kuzika	ku	zika	LLL	v.		be dirty; rot; be overgrown	6928		
okuzima	oku	zima	LLLL	a.	15	"real, true"	6929		
kuzima	ku	zima	LLL	v.		go out (used of a fire)	6930		
kuzimba	ku	zimba	LLL	v.		overcharge	6931		
kuzimba	ku	zimba	LFL	v.		swell	6932		
kuzimburuka	ku	zimburuka	LLLLL	v.		go down (used of a swelling)	6933		
kuzimbya	ku	zimbya	LLL	v.		cause a swelling	6934		
kuzimirira	ku	zimirira	LLLLL	v.		disappear	6935		
okuzimu	oku	zimu	LLLL	i.	15	down below; at the bottom; 15ft. okuzimu: 15 ft. deep	6936		
kuzimuura	ku	zimuura	LLLLL	v.		do return kindness; pay back a dowry	6937		
kuzimya	ku	zimya	LLL	v.		put out (a fire)	6938		
kuzina	ku	zina	LLL	v.		dance	6939		
kuzinda	ku	zinda	LLL	v.		attack	6940		
kuzindaara	ku	zindaara	LLLLL	v.		be blocked; be husky	6941		
kuzinduka	ku	zinduka	LLLL	v.		pay a long visit	6942		
kuzinga	ku	zinga	LLL	v.		roll up; give a charm to prevent birth; commit adultery (use	6943		
kuzingama	ku	zingama	LLLL	v.		be very weak; be paralysed	6944		
kuzingazinga	ku	zingazinga	LLLLL	v.		paralyse	6945		
kuzingazingwa	ku	zingazingwa	LLLLL	v.		be paralysed	6946		
